Player,Team,Opponent,Week,Rushing_Attempts,Rushing_Yards,Yards_Per_Carry,Rushing_TDs,Longest_Rush,Receptions,Receiving_Yards,Yards_Per_Reception,Receiving_TDs,Longest_Reception,All_Purpose_Yards,Fumbles,Fumbles_Lost
Thomas Castellanos,Florida State,Alabama,1,16,78,4.9,1,14,0,0,0.0,0,0,78,0,0
Roydell Williams,Florida State,Alabama,1,6,14,2.3,0,5,0,0,0.0,0,0,14,0,0
Squirrel White,Florida State,Alabama,1,0,0,0.0,0,0,1,40,40.0,0,40,40,0,0
Ousmane Kromah,Florida State,Alabama,1,7,31,4.4,0,14,1,7,7.0,0,7,38,0,0
Duce Robinson,Florida State,Alabama,1,0,0,0.0,0,0,2,18,9.0,0,15,18,0,0
Gavin Sawchuk,Florida State,Alabama,1,6,28,4.7,1,14,1,3,3.0,0,3,31,0,0
Jaylin Lucas,Florida State,Alabama,1,6,22,3.7,0,8,2,66,33.0,0,64,88,1,1
Randy Pittman,Florida State,Alabama,1,0,0,0.0,0,0,2,18,9.0,0,14,18,0,0
Micahi Danzy,Florida State,Alabama,1,3,56,18.7,1,32,0,0,0.0,0,0,56,0,0
Caziah Holmes,Florida State,Alabama,1,2,7,3.5,1,4,0,0,0.0,0,0,7,0,0
